id	surface	status	kind	name	obligation	verification	upstream	reference	finding
content-01	content	VERIFIED	behavior	-	The ported tree must exactly equal the result of applying bindings to the pinned upstream commit.	gate@parity:check	mechanism:content-parity	port/port.mjs:147	-
content-03	content	VERIFIED	behavior	-	Overrides must contain required must-pin substrings to ensure upstream constraints are not lost.	gate@parity:check	mechanism:content-parity	port/port.mjs:192	-
content-04	content	VERIFIED	behavior	-	Any file in the scoped directories not present upstream must be declared as a local-only extra.	gate@parity:check	mechanism:content-parity	port/bindings/leftovers.mjs:1	-
content-05	content	VERIFIED	behavior	-	The scoped directories must not contain unmigrated Cursor tokens after bindings are applied.	gate@parity:check	mechanism:content-parity	port/bindings/leftovers.mjs:4	-
content-06	content	VERIFIED	behavior	-	The port sync must refuse to apply text bindings to binary files.	gate@parity:check	mechanism:content-parity	port/port.mjs:110	-
content-07	content	VERIFIED	behavior	-	The port sync must fail if any defined binding rule is never applied.	gate@parity:check	mechanism:content-parity	port/port.mjs:210	-
content-08	content	VERIFIED	behavior	-	The parity gate must run the port check, contract check, and alias check successfully.	gate@parity:check	mechanism:content-parity	package.json:50	-
content-09	content	VERIFIED	behavior	-	The upstream pin must be recorded in port/upstream.json with a valid commit hash.	gate@parity:check	mechanism:content-parity	port/upstream.json:1	-
content-10	content	VERIFIED	behavior	-	The package.json must declare a Bun runtime for the ported scripts under skills/poteto-mode/scripts that require it.	test@tests/layers/01-unit/script-runtime-contract.test.ts@package.json declares the bun runtime	mechanism:content-parity	package.json:6	#10
commands-01	commands	VERIFIED	behavior	-	The /skill:<name> invocation must expand arguments into the skill prompt.	test@tests/layers/01-unit/commands-contracts.test.ts@commands-01	mechanism:slash-commands	extensions/commands/skill-commands.ts:155	-
commands-02	commands	VERIFIED	behavior	-	A generated per-skill slash shim must forward its arguments to the underlying skill invocation.	gate@parity:check	mechanism:slash-commands	port/alias.mjs:71	-
commands-03	commands	VERIFIED	behavior	-	A skill name colliding with a reserved command or another skill must throw an error or be excluded.	gate@parity:check	mechanism:slash-commands	port/alias.mjs:55	-
commands-04	commands	VERIFIED	behavior	-	Skill frontmatter names must be kebab-case and enforce disable-model-invocation while ignoring Cursor-only fields.	test@tests/layers/01-unit/commands-contracts.test.ts@commands-04	mechanism:slash-commands	extensions/commands/skill-commands.ts:98	-
commands-05	commands	VERIFIED	command	/pstack	The /pstack command must act as an alias for /poteto-mode and notify when run without arguments.	test@tests/layers/01-unit/commands-contracts.test.ts@commands-05	mechanism:slash-commands	extensions/poteto-state/index.ts:232	-
decision-01	decision	VERIFIED	tool	pstack_decision_log	The tool must require phase, decision, and why parameters while defaulting path to .pi/decisions.tsv.	test@tests/layers/02-integration/decision-log.test.mjs@round trip logs decision	skills/show-me-your-work/scripts/log.sh	extensions/decision-log/index.ts:50	-
decision-02	decision	VERIFIED	behavior	-	The tool must reject paths that do not strictly resolve under the cwd/.pi directory.	test@tests/layers/02-integration/decision-log.test.mjs@rejects traversal attempts	skills/show-me-your-work/scripts/log.sh	extensions/decision-log/index.ts:12	-
decision-03	decision	VERIFIED	behavior	-	The tool must write a TSV header if absent and escape tab and newline characters.	test@tests/layers/02-integration/decision-log.test.mjs@round trip logs decision	skills/show-me-your-work/scripts/log.sh	extensions/decision-log/index.ts:89	-
decision-04	decision	VERIFIED	behavior	-	The tool must append a pstack-decision custom entry to the session log.	test@tests/layers/02-integration/decision-log.test.mjs@round trip logs decision	skills/show-me-your-work/scripts/log.sh	extensions/decision-log/index.ts:53	-
commands-06	commands	VERIFIED	command	/deslop	The /deslop command must register exactly once across the modules that own commands.	test@tests/layers/01-unit/command-registry.test.ts@register each name exactly once	mechanism:slash-commands	extensions/companions/index.ts:402	-
